id_log,id_produk,id_seller,tanggal,jenis_perubahan,jumlah,stok_sebelum,stok_sesudah,alasan
L004725,P001,U001,2025-05-14,Penjualan,36,2998,2962,Produk terjual
L002367,P024,U005,2025-05-14,Restock,3,1917,1920,Pembelian supplier
L002843,P020,U004,2025-05-15,Restock,69,1418,1487,Pembelian supplier
L002275,P001,U001,2025-05-15,Restock,74,2777,2851,Pembelian supplier
L002895,P027,U006,2025-05-15,Restock,37,1895,1932,Pembelian supplier
L005156,P023,U005,2025-05-16,Barang Rusak,34,3461,3427,Kerusakan barang
L004047,P012,U003,2025-05-16,Penjualan,71,3989,3918,Produk terjual
L003345,P026,U006,2025-05-16,Restock,27,3365,3392,Pembelian supplier
L005334,P001,U001,2025-05-16,Retur Supplier,64,3375,3439,Pengembalian supplier
L004565,P026,U006,2025-05-16,Penjualan,33,3374,3341,Produk terjual
L003764,P011,U003,2025-05-17,Restock,21,2431,2452,Pembelian supplier
L000380,P028,U006,2025-05-17,Restock,45,1906,1951,Pembelian supplier
L005652,P027,U006,2025-05-17,Restock,35,1995,2030,Pembelian supplier
L004895,P026,U006,2025-05-17,Penjualan,21,3415,3394,Produk terjual
L005126,P005,U001,2025-05-17,Restock,2,3493,3495,Pembelian supplier
L001887,P013,U003,2025-05-17,Kadaluarsa,74,809,735,Melewati masa jual
L002927,P028,U006,2025-05-18,Kadaluarsa,41,3189,3148,Melewati masa jual
L003815,P011,U003,2025-05-18,Restock,75,2452,2527,Pembelian supplier
L004774,P007,U002,2025-05-18,Restock,21,3630,3651,Pembelian supplier
L004279,P022,U005,2025-05-18,Retur Supplier,37,3381,3418,Pengembalian supplier
L005026,P022,U005,2025-05-18,Restock,72,3595,3667,Pembelian supplier
L000163,P009,U002,2025-05-18,Restock,76,2766,2842,Pembelian supplier
L002093,P006,U002,2025-05-18,Kadaluarsa,69,2095,2026,Melewati masa jual
L005114,P021,U005,2025-05-19,Restock,28,2562,2590,Pembelian supplier
L004407,P022,U005,2025-05-19,Restock,80,3460,3540,Pembelian supplier
L003166,P008,U002,2025-05-19,Restock,18,1952,1970,Pembelian supplier
L001272,P029,U006,2025-05-19,Penjualan,68,3243,3175,Produk terjual
L003468,P006,U002,2025-05-19,Restock,51,2789,2840,Pembelian supplier
L005609,P026,U006,2025-05-20,Restock,46,3366,3412,Pembelian supplier
L001789,P023,U005,2025-05-20,Restock,4,3334,3338,Pembelian supplier
L002906,P015,U003,2025-05-20,Retur Supplier,16,1916,1932,Pengembalian supplier
L005960,P003,U001,2025-05-20,Restock,54,2699,2753,Pembelian supplier
L005630,P029,U006,2025-05-20,Restock,67,5018,5085,Pembelian supplier
L000501,P015,U003,2025-05-20,Penyesuaian,74,1562,1488,Audit stok
L002042,P013,U003,2025-05-20,Restock,78,591,669,Pembelian supplier
L000547,P011,U003,2025-05-21,Restock,25,2071,2096,Pembelian supplier
L003904,P022,U005,2025-05-21,Restock,33,3214,3247,Pembelian supplier
L002423,P021,U005,2025-05-21,Restock,77,1327,1404,Pembelian supplier
L001499,P002,U001,2025-05-21,Restock,23,1196,1219,Pembelian supplier
L002347,P012,U003,2025-05-21,Restock,35,3800,3835,Pembelian supplier
L004992,P029,U006,2025-05-21,Penjualan,64,4687,4623,Produk terjual
L005042,P013,U003,2025-05-21,Restock,77,529,606,Pembelian supplier
L000599,P005,U001,2025-05-21,Penjualan,22,2274,2252,Produk terjual
L002219,P007,U002,2025-05-21,Penyesuaian,2,3243,3241,Audit stok
L000141,P001,U001,2025-05-21,Penyesuaian,39,1560,1521,Audit stok
L005728,P029,U006,2025-05-22,Penjualan,70,5118,5048,Produk terjual
L002963,P024,U005,2025-05-22,Restock,35,1995,2030,Pembelian supplier
L000319,P004,U001,2025-05-22,Penjualan,52,646,594,Produk terjual
L003666,P024,U005,2025-05-22,Penjualan,50,2300,2250,Produk terjual
L004117,P022,U005,2025-05-22,Penjualan,64,3240,3176,Produk terjual
L002794,P021,U005,2025-05-22,Restock,46,1507,1553,Pembelian supplier
L001309,P024,U005,2025-05-23,Penjualan,6,1669,1663,Produk terjual
L000517,P029,U006,2025-05-23,Restock,1,2993,2994,Pembelian supplier
L001054,P001,U001,2025-05-23,Restock,74,2116,2190,Pembelian supplier
L005553,P008,U002,2025-05-23,Restock,55,3410,3465,Pembelian supplier
L003278,P007,U002,2025-05-23,Restock,57,3265,3322,Pembelian supplier
L002635,P011,U003,2025-05-23,Restock,73,2397,2470,Pembelian supplier
L005510,P012,U003,2025-05-23,Retur Supplier,41,4927,4968,Pengembalian supplier
L001280,P026,U006,2025-05-23,Restock,68,2320,2388,Pembelian supplier
L004042,P024,U005,2025-05-23,Barang Rusak,63,2307,2244,Kerusakan barang
L000782,P006,U002,2025-05-23,Penjualan,62,1423,1361,Produk terjual
L003939,P017,U004,2025-05-23,Restock,67,3556,3623,Pembelian supplier
L004397,P027,U006,2025-05-23,Restock,36,1456,1492,Pembelian supplier
L000506,P007,U002,2025-05-23,Penjualan,20,2547,2527,Produk terjual
L003997,P026,U006,2025-05-24,Penjualan,49,3582,3533,Produk terjual
L004853,P001,U001,2025-05-24,Restock,39,3004,3043,Pembelian supplier
L005577,P021,U005,2025-05-24,Retur Supplier,67,2583,2650,Pengembalian supplier
L002257,P025,U005,2025-05-24,Restock,9,1906,1915,Pembelian supplier
L000714,P001,U001,2025-05-24,Penjualan,15,1828,1813,Produk terjual
L002029,P007,U002,2025-05-24,Penjualan,31,3378,3347,Produk terjual
L002480,P015,U003,2025-05-25,Restock,64,1614,1678,Pembelian supplier
L001263,P028,U006,2025-05-25,Restock,45,2085,2130,Pembelian supplier
L004263,P026,U006,2025-05-25,Restock,26,3596,3622,Pembelian supplier
L003237,P019,U004,2025-05-26,Restock,16,4917,4933,Pembelian supplier
L004103,P016,U004,2025-05-26,Restock,41,2612,2653,Pembelian supplier
L004740,P030,U006,2025-05-26,Restock,44,3390,3434,Pembelian supplier
L003644,P014,U003,2025-05-26,Penjualan,63,1449,1386,Produk terjual
L003955,P006,U002,2025-05-26,Penjualan,19,2913,2894,Produk terjual
L000348,P012,U003,2025-05-27,Restock,44,2849,2893,Pembelian supplier
L005117,P005,U001,2025-05-27,Penjualan,69,3562,3493,Produk terjual
L001015,P010,U002,2025-05-27,Restock,25,373,398,Pembelian supplier
L003214,P030,U006,2025-05-27,Restock,13,2307,2320,Pembelian supplier
L001199,P018,U004,2025-05-27,Penjualan,45,2758,2713,Produk terjual
L000535,P009,U002,2025-05-27,Restock,36,2834,2870,Pembelian supplier
L004123,P019,U004,2025-05-28,Restock,70,5407,5477,Pembelian supplier
L001669,P027,U006,2025-05-28,Restock,78,1694,1772,Pembelian supplier
L000344,P014,U003,2025-05-28,Restock,77,631,708,Pembelian supplier
L002047,P020,U004,2025-05-28,Penjualan,71,1512,1441,Produk terjual
L004348,P025,U005,2025-05-28,Penjualan,2,2311,2309,Produk terjual
L005950,P028,U006,2025-05-29,Penyesuaian,12,4048,4036,Audit stok
L000936,P016,U004,2025-05-29,Penjualan,57,1406,1349,Produk terjual
L004806,P029,U006,2025-05-29,Restock,74,4493,4567,Pembelian supplier
L003787,P018,U004,2025-05-29,Kadaluarsa,42,3431,3389,Melewati masa jual
L004661,P011,U003,2025-05-29,Barang Rusak,13,2735,2722,Kerusakan barang
L000091,P024,U005,2025-05-30,Penjualan,25,931,906,Produk terjual
L005722,P011,U003,2025-05-30,Penjualan,36,3011,2975,Produk terjual
L002256,P001,U001,2025-05-30,Restock,16,2761,2777,Pembelian supplier
L005964,P016,U004,2025-05-30,Retur Supplier,22,3227,3249,Pengembalian supplier
L005231,P014,U003,2025-05-30,Restock,4,1287,1291,Pembelian supplier
L005277,P008,U002,2025-05-30,Penjualan,3,2972,2969,Produk terjual
L000500,P019,U004,2025-05-30,Retur Supplier,35,3511,3546,Pengembalian supplier
L003946,P022,U005,2025-05-30,Restock,30,3308,3338,Pembelian supplier
L002654,P002,U001,2025-05-30,Restock,61,1926,1987,Pembelian supplier
L005814,P020,U004,2025-05-31,Penyesuaian,21,2925,2904,Audit stok
L005031,P016,U004,2025-05-31,Restock,58,2952,3010,Pembelian supplier
L005115,P027,U006,2025-05-31,Penjualan,65,1514,1449,Produk terjual
L003848,P025,U005,2025-05-31,Restock,61,2187,2248,Pembelian supplier
L000338,P004,U001,2025-05-31,Penjualan,68,550,482,Produk terjual
L000085,P006,U002,2025-05-31,Barang Rusak,25,1175,1150,Kerusakan barang
L005445,P024,U005,2025-06-01,Restock,45,1959,2004,Pembelian supplier
L002287,P023,U005,2025-06-01,Restock,62,3674,3736,Pembelian supplier
L003550,P029,U006,2025-06-01,Restock,2,4183,4185,Pembelian supplier
L002785,P011,U003,2025-06-01,Restock,53,2511,2564,Pembelian supplier
L000852,P027,U006,2025-06-01,Restock,63,1638,1701,Pembelian supplier
L000973,P020,U004,2025-06-01,Penyesuaian,37,1411,1374,Audit stok
L000407,P023,U005,2025-06-01,Retur Supplier,34,3103,3137,Pengembalian supplier
L001898,P022,U005,2025-06-01,Penjualan,61,2785,2724,Produk terjual
L001196,P002,U001,2025-06-02,Penjualan,12,1163,1151,Produk terjual
L004634,P030,U006,2025-06-02,Restock,54,3145,3199,Pembelian supplier
L005361,P022,U005,2025-06-02,Penjualan,47,3892,3845,Produk terjual
L002348,P022,U005,2025-06-02,Restock,6,2713,2719,Pembelian supplier
L000574,P026,U006,2025-06-02,Restock,49,2082,2131,Pembelian supplier
L005844,P015,U003,2025-06-02,Penjualan,76,2378,2302,Produk terjual
L004867,P002,U001,2025-06-02,Restock,59,2375,2434,Pembelian supplier
L005760,P019,U004,2025-06-02,Restock,48,6267,6315,Pembelian supplier
L005723,P005,U001,2025-06-02,Penyesuaian,70,3730,3660,Audit stok
L001978,P018,U004,2025-06-02,Restock,43,2782,2825,Pembelian supplier
L002520,P026,U006,2025-06-02,Restock,45,2866,2911,Pembelian supplier
L005488,P012,U003,2025-06-02,Restock,8,4919,4927,Pembelian supplier
L002503,P025,U005,2025-06-02,Restock,34,1845,1879,Pembelian supplier
L001051,P022,U005,2025-06-02,Restock,43,2556,2599,Pembelian supplier
L003922,P021,U005,2025-06-02,Restock,77,2065,2142,Pembelian supplier
L004939,P015,U003,2025-06-03,Restock,30,2046,2076,Pembelian supplier
L005247,P020,U004,2025-06-03,Restock,79,2658,2737,Pembelian supplier
L004021,P024,U005,2025-06-03,Restock,80,2227,2307,Pembelian supplier
L002425,P027,U006,2025-06-03,Restock,11,2059,2070,Pembelian supplier
L002718,P001,U001,2025-06-04,Restock,8,2924,2932,Pembelian supplier
L004300,P001,U001,2025-06-04,Restock,3,2820,2823,Pembelian supplier
L001148,P013,U003,2025-06-04,Penyesuaian,35,628,593,Audit stok
L003199,P002,U001,2025-06-04,Restock,24,2206,2230,Pembelian supplier
L005443,P007,U002,2025-06-04,Penjualan,21,3604,3583,Produk terjual
L005464,P027,U006,2025-06-04,Restock,75,1758,1833,Pembelian supplier
L000991,P020,U004,2025-06-04,Penjualan,32,1374,1342,Produk terjual
L002555,P013,U003,2025-06-04,Restock,11,844,855,Pembelian supplier
L005054,P008,U002,2025-06-05,Restock,63,2826,2889,Pembelian supplier
L001733,P026,U006,2025-06-05,Penyesuaian,31,2572,2541,Audit stok
L004838,P024,U005,2025-06-05,Penjualan,78,2324,2246,Produk terjual
L000857,P007,U002,2025-06-05,Restock,53,2973,3026,Pembelian supplier
L004736,P012,U003,2025-06-05,Restock,47,4463,4510,Pembelian supplier
L005439,P020,U004,2025-06-05,Restock,70,2747,2817,Pembelian supplier
L001583,P028,U006,2025-06-05,Restock,19,2274,2293,Pembelian supplier
L004780,P019,U004,2025-06-06,Restock,9,5790,5799,Pembelian supplier
L003973,P022,U005,2025-06-06,Restock,20,3267,3287,Pembelian supplier
L000425,P002,U001,2025-06-06,Barang Rusak,71,976,905,Kerusakan barang
L002391,P014,U003,2025-06-06,Restock,62,997,1059,Pembelian supplier
L004790,P013,U003,2025-06-06,Penjualan,10,519,509,Produk terjual
L004308,P021,U005,2025-06-06,Restock,4,2293,2297,Pembelian supplier
L005131,P021,U005,2025-06-06,Restock,42,2590,2632,Pembelian supplier
L002401,P017,U004,2025-06-06,Restock,8,2519,2527,Pembelian supplier
L002513,P021,U005,2025-06-06,Restock,37,1342,1379,Pembelian supplier
L003004,P030,U006,2025-06-06,Restock,46,2313,2359,Pembelian supplier
L002821,P026,U006,2025-06-06,Restock,18,2947,2965,Pembelian supplier
L003035,P021,U005,2025-06-07,Restock,28,1672,1700,Pembelian supplier
L002624,P021,U005,2025-06-07,Penjualan,40,1439,1399,Produk terjual
L002626,P002,U001,2025-06-07,Restock,37,1889,1926,Pembelian supplier
L005955,P026,U006,2025-06-07,Restock,59,3308,3367,Pembelian supplier
L003005,P030,U006,2025-06-07,Penyesuaian,51,2359,2308,Audit stok
L000487,P013,U003,2025-06-08,Barang Rusak,8,666,658,Kerusakan barang
L000433,P019,U004,2025-06-08,Restock,59,3369,3428,Pembelian supplier
L003055,P020,U004,2025-06-08,Penjualan,31,1407,1376,Produk terjual
L002115,P023,U005,2025-06-08,Restock,55,3533,3588,Pembelian supplier
L004914,P003,U001,2025-06-08,Restock,77,2448,2525,Pembelian supplier
L000009,P024,U005,2025-06-08,Penjualan,38,822,784,Produk terjual
L004940,P019,U004,2025-06-08,Kadaluarsa,20,5799,5779,Melewati masa jual
L003331,P012,U003,2025-06-08,Penjualan,26,3796,3770,Produk terjual
L003170,P021,U005,2025-06-08,Restock,65,1712,1777,Pembelian supplier
L004957,P018,U004,2025-06-08,Penjualan,42,3444,3402,Produk terjual
L003728,P017,U004,2025-06-08,Restock,30,3408,3438,Pembelian supplier
L001981,P021,U005,2025-06-08,Restock,5,1263,1268,Pembelian supplier
L000394,P011,U003,2025-06-08,Restock,42,2123,2165,Pembelian supplier
L004981,P007,U002,2025-06-09,Penjualan,27,3730,3703,Produk terjual
L003797,P004,U001,2025-06-09,Restock,64,1009,1073,Pembelian supplier
L002365,P019,U004,2025-06-09,Barang Rusak,52,4743,4691,Kerusakan barang
L003492,P017,U004,2025-06-10,Barang Rusak,1,3227,3226,Kerusakan barang
L001212,P014,U003,2025-06-10,Barang Rusak,42,414,372,Kerusakan barang
L000788,P012,U003,2025-06-10,Restock,56,3003,3059,Pembelian supplier
L000545,P026,U006,2025-06-10,Restock,76,1937,2013,Pembelian supplier
L004996,P024,U005,2025-06-11,Penjualan,57,2401,2344,Produk terjual
L004447,P022,U005,2025-06-11,Restock,23,3578,3601,Pembelian supplier
L004045,P026,U006,2025-06-11,Restock,39,3557,3596,Pembelian supplier
L000199,P011,U003,2025-06-11,Retur Supplier,52,2158,2210,Pengembalian supplier
L002603,P019,U004,2025-06-11,Restock,6,4596,4602,Pembelian supplier
L001143,P015,U003,2025-06-12,Penjualan,58,1611,1553,Produk terjual
L004404,P030,U006,2025-06-12,Penjualan,1,3001,3000,Produk terjual
L004275,P017,U004,2025-06-12,Penjualan,28,3491,3463,Produk terjual
L002354,P011,U003,2025-06-12,Barang Rusak,2,2430,2428,Kerusakan barang
L001769,P005,U001,2025-06-12,Penjualan,49,3161,3112,Produk terjual
L005884,P011,U003,2025-06-12,Restock,23,3039,3062,Pembelian supplier
L005917,P025,U005,2025-06-13,Restock,67,3187,3254,Pembelian supplier
L005144,P027,U006,2025-06-13,Penjualan,31,1449,1418,Produk terjual
L000048,P016,U004,2025-06-13,Penjualan,71,955,884,Produk terjual
L003197,P022,U005,2025-06-13,Restock,11,2955,2966,Pembelian supplier
L002282,P030,U006,2025-06-13,Penjualan,22,2361,2339,Produk terjual
L001190,P030,U006,2025-06-13,Penjualan,16,1833,1817,Produk terjual
L005400,P017,U004,2025-06-14,Restock,58,4208,4266,Pembelian supplier
L000679,P025,U005,2025-06-14,Penjualan,44,1545,1501,Produk terjual
L001538,P006,U002,2025-06-14,Restock,67,1723,1790,Pembelian supplier
L000352,P025,U005,2025-06-15,Restock,20,1528,1548,Pembelian supplier
L003856,P012,U003,2025-06-15,Penyesuaian,12,4026,4014,Audit stok
L004031,P001,U001,2025-06-15,Penyesuaian,38,2876,2838,Audit stok
L004498,P007,U002,2025-06-15,Restock,3,3538,3541,Pembelian supplier
L004192,P024,U005,2025-06-15,Restock,35,2198,2233,Pembelian supplier
L001706,P020,U004,2025-06-15,Penjualan,59,1353,1294,Produk terjual
L001049,P006,U002,2025-06-15,Penjualan,36,1665,1629,Produk terjual
L003673,P007,U002,2025-06-16,Penjualan,78,3370,3292,Produk terjual
L003729,P019,U004,2025-06-16,Restock,60,5352,5412,Pembelian supplier
L001273,P002,U001,2025-06-16,Restock,37,1066,1103,Pembelian supplier
L002154,P018,U004,2025-06-16,Penjualan,69,2896,2827,Produk terjual
L005112,P011,U003,2025-06-16,Restock,27,2762,2789,Pembelian supplier
L005956,P022,U005,2025-06-16,Penjualan,19,4456,4437,Produk terjual
L005882,P023,U005,2025-06-16,Kadaluarsa,8,3302,3294,Melewati masa jual
L004891,P010,U002,2025-06-16,Penjualan,34,725,691,Produk terjual
L004745,P028,U006,2025-06-17,Restock,57,3569,3626,Pembelian supplier
L004635,P028,U006,2025-06-17,Restock,1,3511,3512,Pembelian supplier
L003353,P020,U004,2025-06-17,Restock,51,1308,1359,Pembelian supplier
L004513,P029,U006,2025-06-17,Penjualan,50,4398,4348,Produk terjual
L003916,P009,U002,2025-06-17,Restock,27,3834,3861,Pembelian supplier
L001729,P020,U004,2025-06-18,Restock,63,1294,1357,Pembelian supplier
L005068,P028,U006,2025-06-18,Restock,77,3680,3757,Pembelian supplier
L000974,P029,U006,2025-06-18,Restock,54,3301,3355,Pembelian supplier
L005446,P028,U006,2025-06-18,Retur Supplier,73,3937,4010,Pengembalian supplier
L004330,P015,U003,2025-06-18,Restock,9,2074,2083,Pembelian supplier
L000953,P024,U005,2025-06-18,Restock,68,1145,1213,Pembelian supplier
L002897,P020,U004,2025-06-18,Penjualan,26,1487,1461,Produk terjual
L003697,P018,U004,2025-06-19,Restock,35,3434,3469,Pembelian supplier
L005978,P008,U002,2025-06-19,Retur Supplier,35,3859,3894,Pengembalian supplier
L003683,P006,U002,2025-06-19,Restock,53,2875,2928,Pembelian supplier
L000563,P026,U006,2025-06-19,Restock,18,2084,2102,Pembelian supplier
L000680,P026,U006,2025-06-19,Restock,59,1919,1978,Pembelian supplier
L003604,P028,U006,2025-06-19,Penjualan,16,3362,3346,Produk terjual
L000954,P030,U006,2025-06-19,Penjualan,75,1715,1640,Produk terjual
L002716,P006,U002,2025-06-19,Penjualan,2,2213,2211,Produk terjual
L001298,P007,U002,2025-06-19,Kadaluarsa,4,3049,3045,Melewati masa jual
L004563,P022,U005,2025-06-20,Restock,5,3714,3719,Pembelian supplier
L004577,P020,U004,2025-06-20,Retur Supplier,31,2398,2429,Pengembalian supplier
L000240,P030,U006,2025-06-20,Retur Supplier,64,1282,1346,Pengembalian supplier
L001390,P012,U003,2025-06-20,Penyesuaian,69,3472,3403,Audit stok
L003975,P028,U006,2025-06-20,Restock,22,3233,3255,Pembelian supplier
L004586,P029,U006,2025-06-21,Restock,58,4348,4406,Pembelian supplier
L004817,P026,U006,2025-06-21,Restock,54,3331,3385,Pembelian supplier
L004370,P028,U006,2025-06-21,Restock,76,3486,3562,Pembelian supplier
L001500,P028,U006,2025-06-21,Restock,59,2150,2209,Pembelian supplier
L001074,P017,U004,2025-06-21,Restock,1,1572,1573,Pembelian supplier
L005368,P023,U005,2025-06-21,Penjualan,38,3398,3360,Produk terjual
L001923,P016,U004,2025-06-21,Restock,13,1846,1859,Pembelian supplier
L001281,P014,U003,2025-06-21,Restock,21,472,493,Pembelian supplier
L002063,P008,U002,2025-06-21,Barang Rusak,68,2052,1984,Kerusakan barang
L001387,P026,U006,2025-06-21,Restock,7,2415,2422,Pembelian supplier
L004929,P020,U004,2025-06-21,Penyesuaian,24,2404,2380,Audit stok
L001855,P029,U006,2025-06-21,Penjualan,15,3338,3323,Produk terjual
L004662,P022,U005,2025-06-22,Penyesuaian,62,3802,3740,Audit stok
L001615,P019,U004,2025-06-22,Penyesuaian,16,4183,4167,Audit stok
L005595,P022,U005,2025-06-22,Restock,59,3832,3891,Pembelian supplier
L005578,P011,U003,2025-06-22,Penyesuaian,59,3019,2960,Audit stok
L002321,P028,U006,2025-06-22,Restock,35,2437,2472,Pembelian supplier
L005686,P008,U002,2025-06-22,Restock,4,3696,3700,Pembelian supplier
L004049,P008,U002,2025-06-22,Penjualan,16,2462,2446,Produk terjual
L003821,P029,U006,2025-06-22,Penjualan,28,4273,4245,Produk terjual
L004070,P025,U005,2025-06-22,Retur Supplier,3,2248,2251,Pengembalian supplier
L001523,P015,U003,2025-06-22,Retur Supplier,59,1491,1550,Pengembalian supplier
L005069,P004,U001,2025-06-22,Penjualan,40,1707,1667,Produk terjual
L003573,P022,U005,2025-06-23,Penyesuaian,51,3006,2955,Audit stok
L002498,P012,U003,2025-06-23,Penjualan,56,3843,3787,Produk terjual
L002766,P014,U003,2025-06-23,Barang Rusak,48,1030,982,Kerusakan barang
L000114,P017,U004,2025-06-23,Barang Rusak,36,1409,1373,Kerusakan barang
L005382,P010,U002,2025-06-23,Restock,73,691,764,Pembelian supplier
L000341,P028,U006,2025-06-23,Restock,43,1912,1955,Pembelian supplier
L004030,P013,U003,2025-06-23,Restock,10,336,346,Pembelian supplier
L004738,P018,U004,2025-06-23,Kadaluarsa,64,3456,3392,Melewati masa jual
L001689,P008,U002,2025-06-24,Penjualan,11,1953,1942,Produk terjual
L001037,P024,U005,2025-06-24,Restock,23,1252,1275,Pembelian supplier
L002649,P027,U006,2025-06-24,Penjualan,19,1985,1966,Produk terjual
L005837,P027,U006,2025-06-24,Penjualan,35,2065,2030,Produk terjual
L001020,P006,U002,2025-06-24,Restock,80,1585,1665,Pembelian supplier
L002951,P016,U004,2025-06-25,Restock,67,2236,2303,Pembelian supplier
L004522,P024,U005,2025-06-25,Penjualan,73,2075,2002,Produk terjual
L004252,P030,U006,2025-06-25,Restock,23,2782,2805,Pembelian supplier
L003390,P013,U003,2025-06-25,Kadaluarsa,52,792,740,Melewati masa jual
L000130,P004,U001,2025-06-25,Restock,28,624,652,Pembelian supplier
L003475,P010,U002,2025-06-25,Penjualan,28,471,443,Produk terjual
L005862,P022,U005,2025-06-25,Restock,58,4302,4360,Pembelian supplier
L003336,P030,U006,2025-06-26,Restock,25,2354,2379,Pembelian supplier
L003514,P011,U003,2025-06-26,Restock,44,2544,2588,Pembelian supplier
L005286,P024,U005,2025-06-27,Restock,4,2000,2004,Pembelian supplier
L000820,P017,U004,2025-06-27,Restock,73,1447,1520,Pembelian supplier
L004723,P023,U005,2025-06-27,Restock,74,3290,3364,Pembelian supplier
L004731,P029,U006,2025-06-27,Penjualan,53,4449,4396,Produk terjual
L003518,P002,U001,2025-06-27,Restock,8,2161,2169,Pembelian supplier
L004862,P003,U001,2025-06-27,Penjualan,39,2558,2519,Produk terjual
L005391,P019,U004,2025-06-27,Penjualan,30,6073,6043,Produk terjual
L005688,P005,U001,2025-06-27,Penjualan,52,3782,3730,Produk terjual
L002815,P016,U004,2025-06-27,Restock,36,2232,2268,Pembelian supplier
L005748,P030,U006,2025-06-28,Kadaluarsa,18,4150,4132,Melewati masa jual
L004238,P007,U002,2025-06-28,Restock,47,3473,3520,Pembelian supplier
L000502,P003,U001,2025-06-28,Penyesuaian,31,1017,986,Audit stok
L004004,P028,U006,2025-06-28,Restock,27,3365,3392,Pembelian supplier
L002741,P026,U006,2025-06-28,Penjualan,50,3008,2958,Produk terjual
L003211,P014,U003,2025-06-29,Retur Supplier,71,1035,1106,Pengembalian supplier
L004472,P023,U005,2025-06-29,Penjualan,30,3172,3142,Produk terjual
L005450,P020,U004,2025-06-29,Retur Supplier,76,2838,2914,Pengembalian supplier
L005094,P011,U003,2025-06-29,Penjualan,76,2838,2762,Produk terjual
L000751,P016,U004,2025-06-29,Restock,21,1328,1349,Pembelian supplier
L000052,P019,U004,2025-06-29,Restock,55,2967,3022,Pembelian supplier
L004333,P005,U001,2025-06-30,Restock,70,3446,3516,Pembelian supplier
L005596,P005,U001,2025-06-30,Restock,10,3772,3782,Pembelian supplier
L000562,P030,U006,2025-06-30,Restock,10,1437,1447,Pembelian supplier
L001996,P022,U005,2025-06-30,Penjualan,40,2680,2640,Produk terjual
L001693,P016,U004,2025-07-01,Penyesuaian,61,1695,1634,Audit stok
L003455,P030,U006,2025-07-01,Retur Supplier,56,2473,2529,Pengembalian supplier
L000721,P005,U001,2025-07-01,Barang Rusak,10,2439,2429,Kerusakan barang
L005582,P019,U004,2025-07-01,Penjualan,66,6184,6118,Produk terjual
L001882,P028,U006,2025-07-01,Restock,65,2224,2289,Pembelian supplier
L004906,P022,U005,2025-07-01,Penjualan,32,3700,3668,Produk terjual
L004029,P021,U005,2025-07-02,Restock,58,2268,2326,Pembelian supplier
L001140,P011,U003,2025-07-02,Restock,16,1940,1956,Pembelian supplier
L001220,P028,U006,2025-07-02,Penjualan,54,2256,2202,Produk terjual
L000356,P008,U002,2025-07-03,Penjualan,25,1818,1793,Produk terjual
L003319,P024,U005,2025-07-03,Restock,80,2225,2305,Pembelian supplier
L004003,P028,U006,2025-07-03,Restock,38,3327,3365,Pembelian supplier
L004514,P016,U004,2025-07-03,Restock,2,3147,3149,Pembelian supplier
L005821,P025,U005,2025-07-03,Restock,62,3088,3150,Pembelian supplier
L001542,P025,U005,2025-07-03,Restock,54,1988,2042,Pembelian supplier
L004349,P002,U001,2025-07-03,Penjualan,18,2498,2480,Produk terjual
L004726,P008,U002,2025-07-04,Retur Supplier,76,2514,2590,Pengembalian supplier
L001210,P030,U006,2025-07-04,Restock,25,1834,1859,Pembelian supplier
L003557,P028,U006,2025-07-04,Penyesuaian,37,3399,3362,Audit stok
L004991,P030,U006,2025-07-04,Penjualan,42,3662,3620,Produk terjual
L005284,P004,U001,2025-07-04,Restock,4,1570,1574,Pembelian supplier
L002564,P017,U004,2025-07-04,Restock,75,2667,2742,Pembelian supplier
L001005,P030,U006,2025-07-04,Restock,10,1697,1707,Pembelian supplier
L000336,P021,U005,2025-07-05,Penjualan,14,786,772,Produk terjual
L000579,P016,U004,2025-07-05,Restock,36,1135,1171,Pembelian supplier
L004963,P026,U006,2025-07-05,Restock,21,3312,3333,Pembelian supplier
L004146,P014,U003,2025-07-05,Barang Rusak,70,1429,1359,Kerusakan barang
L002535,P029,U006,2025-07-05,Restock,5,3681,3686,Pembelian supplier
L002018,P026,U006,2025-07-06,Restock,17,2712,2729,Pembelian supplier
L001965,P027,U006,2025-07-06,Restock,73,2105,2178,Pembelian supplier
L004402,P030,U006,2025-07-06,Restock,34,2967,3001,Pembelian supplier
L003950,P006,U002,2025-07-06,Penjualan,78,2991,2913,Produk terjual
L003788,P009,U002,2025-07-06,Restock,20,3716,3736,Pembelian supplier
L004340,P027,U006,2025-07-06,Penjualan,76,1532,1456,Produk terjual
L005897,P030,U006,2025-07-07,Penjualan,77,4329,4252,Produk terjual
L004727,P002,U001,2025-07-07,Restock,16,2444,2460,Pembelian supplier
L005311,P021,U005,2025-07-07,Restock,12,2643,2655,Pembelian supplier
L004380,P004,U001,2025-07-07,Penjualan,40,1351,1311,Produk terjual
L000306,P017,U004,2025-07-07,Retur Supplier,66,1352,1418,Pengembalian supplier
L001690,P028,U006,2025-07-07,Restock,44,2335,2379,Pembelian supplier
L003458,P030,U006,2025-07-07,Restock,41,2529,2570,Pembelian supplier
L001371,P022,U005,2025-07-08,Restock,62,2735,2797,Pembelian supplier
L003129,P016,U004,2025-07-08,Restock,32,2450,2482,Pembelian supplier
L005871,P006,U002,2025-07-08,Penjualan,57,4020,3963,Produk terjual
L001018,P028,U006,2025-07-08,Restock,26,2133,2159,Pembelian supplier
